raceId,year,round,name
1010,2019,1,Australian Grand Prix
1011,2019,2,Bahrain Grand Prix
1012,2019,3,Chinese Grand Prix
1013,2019,4,Azerbaijan Grand Prix
1014,2019,5,Spanish Grand Prix
1015,2019,6,Monaco Grand Prix
1016,2019,7,Canadian Grand Prix
1017,2019,8,French Grand Prix
1018,2019,9,Austrian Grand Prix
1019,2019,10,British Grand Prix
1020,2019,11,German Grand Prix
1021,2019,12,Hungarian Grand Prix
1022,2019,13,Belgian Grand Prix
1023,2019,14,Italian Grand Prix
1024,2019,15,Singapore Grand Prix
1025,2019,16,Russian Grand Prix
1026,2019,17,Japanese Grand Prix
1027,2019,18,Mexican Grand Prix
1028,2019,19,United States Grand Prix
1029,2019,20,Brazilian Grand Prix
1030,2019,21,Abu Dhabi Grand Prix
1031,2020,1,Austrian Grand Prix
1032,2020,2,Styrian Grand Prix
1033,2020,3,Hungarian Grand Prix
1034,2020,4,British Grand Prix
1035,2020,5,70th Anniversary Grand Prix
1036,2020,6,Spanish Grand Prix
1037,2020,7,Belgian Grand Prix
1038,2020,8,Italian Grand Prix
1039,2020,9,Tuscan Grand Prix
1040,2020,10,Russian Grand Prix
1041,2020,11,Eifel Grand Prix
1042,2020,12,Portuguese Grand Prix
1043,2020,13,Emilia Romagna Grand Prix
1044,2020,14,Turkish Grand Prix
1045,2020,15,Bahrain Grand Prix
1046,2020,16,Sakhir Grand Prix
1047,2020,17,Abu Dhabi Grand Prix
1053,2021,2,Emilia Romagna Grand Prix
1052,2021,1,Bahrain Grand Prix
1051,2021,20,Qatar Grand Prix
1054,2021,3,Portuguese Grand Prix
1055,2021,4,Spanish Grand Prix
1056,2021,5,Monaco Grand Prix
1057,2021,6,Azerbaijan Grand Prix
1058,2021,8,Styrian Grand Prix
1059,2021,7,French Grand Prix
1060,2021,9,Austrian Grand Prix
1061,2021,10,British Grand Prix
1062,2021,11,Hungarian Grand Prix
1063,2021,12,Belgian Grand Prix
1064,2021,13,Dutch Grand Prix
1065,2021,14,Italian Grand Prix
1066,2021,15,Russian Grand Prix
1067,2021,16,Turkish Grand Prix
1069,2021,17,United States Grand Prix
1070,2021,18,Mexico City Grand Prix
1071,2021,19,São Paulo Grand Prix
1072,2021,21,Saudi Arabian Grand Prix
1073,2021,22,Abu Dhabi Grand Prix
1074,2022,1,Bahrain Grand Prix
1075,2022,2,Saudi Arabian Grand Prix
1076,2022,3,Australian Grand Prix
1077,2022,4,Emilia Romagna Grand Prix
1078,2022,5,Miami Grand Prix
1079,2022,6,Spanish Grand Prix
1080,2022,7,Monaco Grand Prix
1081,2022,8,Azerbaijan Grand Prix
1082,2022,9,Canadian Grand Prix
1083,2022,10,British Grand Prix
1084,2022,11,Austrian Grand Prix
1085,2022,12,French Grand Prix
1086,2022,13,Hungarian Grand Prix
1087,2022,14,Belgian Grand Prix
1088,2022,15,Dutch Grand Prix
1089,2022,16,Italian Grand Prix
1091,2022,17,Singapore Grand Prix
1092,2022,18,Japanese Grand Prix
1093,2022,19,United States Grand Prix
1094,2022,20,Mexico City Grand Prix
1095,2022,21,Brazilian Grand Prix
1096,2022,22,Abu Dhabi Grand Prix
1098,2023,1,Bahrain Grand Prix
1099,2023,2,Saudi Arabian Grand Prix
1100,2023,3,Australian Grand Prix
1101,2023,4,Azerbaijan Grand Prix
1102,2023,5,Miami Grand Prix
1103,2023,6,Emilia Romagna Grand Prix
1104,2023,7,Monaco Grand Prix
1105,2023,8,Spanish Grand Prix
1106,2023,9,Canadian Grand Prix
1107,2023,10,Austrian Grand Prix
1108,2023,11,British Grand Prix
1109,2023,12,Hungarian Grand Prix
1110,2023,13,Belgian Grand Prix
1111,2023,14,Dutch Grand Prix
1112,2023,15,Italian Grand Prix
1113,2023,16,Singapore Grand Prix
1114,2023,17,Japanese Grand Prix
1115,2023,18,Qatar Grand Prix
1116,2023,19,United States Grand Prix
1117,2023,20,Mexico City Grand Prix
1118,2023,21,São Paulo Grand Prix
1119,2023,22,Las Vegas Grand Prix
1120,2023,23,Abu Dhabi Grand Prix
